run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2022-04-26_17.42.41,P-1,2612,8245,0,0.09006917654768166,[],0,3,0,[],[],3,[],SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
2022-04-26_17.42.41,S-1,2558,7071,1,0.18781186765517613,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 2.2250669046270755}, {'start_idx': 5110, 'end_idx': 5179, 'score': 7.2365185836656085}, {'start_idx': 5180, 'end_idx': 5249, 'score': 8.01574293505808}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.825075496897382}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.830185858226267}]",0,0,1,[],"[(5290, 5639)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 2.2250669046270755}, {'start_idx': 5110, 'end_idx': 5179, 'score': 7.2365185836656085}, {'start_idx': 5180, 'end_idx': 5249, 'score': 8.01574293505808}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.825075496897382}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.830185858226267}]",SMAP,"[[5300, 5747]]",[point]
2022-04-26_17.42.41,E-1,2620,8256,3,0.08662248193827826,"[{'start_idx': 1502, 'end_idx': 1773, 'score': 2.5219802712765036}, {'start_idx': 4760, 'end_idx': 4829, 'score': 5.996055825048756}, {'start_idx': 4830, 'end_idx': 4899, 'score': 4.497796062585827}, {'start_idx': 5320, 'end_idx': 5389, 'score': 5.809083722358254}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.270821612360134}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.564426859707126}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.397638010488793}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.121972443239022}, {'start_idx': 5670, 'end_idx': 5715, 'score': 6.668879564874464}]",1,0,2,"[[1752, 2023]]","[(5010, 5149), (5570, 5965)]",2,"[{'start_idx': 1502, 'end_idx': 1773, 'score': 2.5219802712765036}, {'start_idx': 4760, 'end_idx': 4829, 'score': 5.996055825048756}, {'start_idx': 4830, 'end_idx': 4899, 'score': 4.497796062585827}, {'start_idx': 5320, 'end_idx': 5389, 'score': 5.809083722358254}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.270821612360134}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.564426859707126}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.397638010488793}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.121972443239022}, {'start_idx': 5670, 'end_idx': 5715, 'score': 6.668879564874464}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
2022-04-26_17.42.41,E-2,2620,8272,1,0.06641031669459156,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 5.853958498905125}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.224515367525784}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.318883790796789}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.884586360406469}]",0,0,1,[],"[(5640, 5919)]",1,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 5.853958498905125}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.224515367525784}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.318883790796789}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.884586360406469}]",SMAP,"[[5598, 6995]]",[point]
2022-04-26_17.42.41,E-3,2620,8047,1,0.026342632053696514,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.9669174269326777}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.1716283159098535}]",0,0,1,[],"[(5570, 5709)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.9669174269326777}, {'start_idx': 5390, 'end_idx': 5459, 'score': 3.1716283159098535}]",SMAP,"[[5094, 8306]]",[point]
2022-04-26_17.42.41,E-4,2620,8094,2,0.0523351007595351,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.7795661474205264}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.750449296735432}, {'start_idx': 5460, 'end_idx': 5529, 'score': 0.9853365436286817}, {'start_idx': 5530, 'end_idx': 5599, 'score': 0.9702420334464863}, {'start_idx': 5600, 'end_idx': 5669, 'score': 0.9910382541531361}, {'start_idx': 5670, 'end_idx': 5739, 'score': 1.3169478924898235}, {'start_idx': 5740, 'end_idx': 5809, 'score': 1.2658611200403616}, {'start_idx': 5810, 'end_idx': 5851, 'score': 0.9643372923111041}, {'start_idx': 5880, 'end_idx': 5949, 'score': 3.4055175331747622}, {'start_idx': 5950, 'end_idx': 6019, 'score': 3.429765679724724}, {'start_idx': 6020, 'end_idx': 6089, 'score': 3.6056326240647563}, {'start_idx': 6090, 'end_idx': 6159, 'score': 3.2486066903261497}]",0,0,1,[],"[(5570, 6101), (6130, 6409)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.7795661474205264}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.750449296735432}, {'start_idx': 5460, 'end_idx': 5529, 'score': 0.9853365436286817}, {'start_idx': 5530, 'end_idx': 5599, 'score': 0.9702420334464863}, {'start_idx': 5600, 'end_idx': 5669, 'score': 0.9910382541531361}, {'start_idx': 5670, 'end_idx': 5739, 'score': 1.3169478924898235}, {'start_idx': 5740, 'end_idx': 5809, 'score': 1.2658611200403616}, {'start_idx': 5810, 'end_idx': 5851, 'score': 0.9643372923111041}, {'start_idx': 5880, 'end_idx': 5949, 'score': 3.4055175331747622}, {'start_idx': 5950, 'end_idx': 6019, 'score': 3.429765679724724}, {'start_idx': 6020, 'end_idx': 6089, 'score': 3.6056326240647563}, {'start_idx': 6090, 'end_idx': 6159, 'score': 3.2486066903261497}]",SMAP,"[[5450, 8261]]",[point]
2022-04-26_17.42.41,E-5,2620,8034,1,0.09917436197923137,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.22392337634027}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.103183386086851}]",0,0,1,[],"[(5570, 5709)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.22392337634027}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.103183386086851}]",SMAP,"[[5600, 5920]]",[point]
2022-04-26_17.42.41,E-6,2620,8040,1,0.003417427378095518,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 20.191211910307196}, {'start_idx': 5390, 'end_idx': 5459, 'score': 15.206612223567072}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.639603515355962}, {'start_idx': 5530, 'end_idx': 5541, 'score': 9.449791251248584}]",0,0,1,[],"[(5570, 5791)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 20.191211910307196}, {'start_idx': 5390, 'end_idx': 5459, 'score': 15.206612223567072}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.639603515355962}, {'start_idx': 5530, 'end_idx': 5541, 'score': 9.449791251248584}]",SMAP,"[[5610, 5675]]",[point]
2022-04-26_17.42.41,E-7,2509,8050,1,0.024728600714262878,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 9.26040942590917}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.220595659661633}, {'start_idx': 5320, 'end_idx': 5389, 'score': 8.955442360138894}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.591562659257116}, {'start_idx': 5460, 'end_idx': 5516, 'score': 6.713362544247875}]",0,0,1,[],"[(5430, 5766)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 9.26040942590917}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.220595659661633}, {'start_idx': 5320, 'end_idx': 5389, 'score': 8.955442360138894}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.591562659257116}, {'start_idx': 5460, 'end_idx': 5516, 'score': 6.713362544247875}]",SMAP,"[[5394, 5674]]",[point]
2022-04-26_17.42.41,E-8,2620,8272,2,0.07045514231157254,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 2.350784466305219}, {'start_idx': 5530, 'end_idx': 5599, 'score': 0.9531238998096787}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.6657699939150548}, {'start_idx': 5670, 'end_idx': 5739, 'score': 3.8240344533194492}, {'start_idx': 5740, 'end_idx': 5807, 'score': 3.2055563354478323}]",0,0,1,[],"[(5640, 5709), (5780, 6057)]",1,"[{'start_idx': 5390, 'end_idx': 5459, 'score': 2.350784466305219}, {'start_idx': 5530, 'end_idx': 5599, 'score': 0.9531238998096787}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.6657699939150548}, {'start_idx': 5670, 'end_idx': 5739, 'score': 3.8240344533194492}, {'start_idx': 5740, 'end_idx': 5807, 'score': 3.2055563354478323}]",SMAP,"[[5400, 6022]]",[point]
2022-04-26_17.42.41,E-9,2620,8042,0,0.06805925881021838,[],0,1,0,[],[],1,[],SMAP,"[[5550, 5900]]",[point]
